Year,Area Name,All ages,Not Stated,0 up to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 and over
1997,West Dunbartonshire,"1,157",1,113,226,359,321,128,9
1997,West Lothian,"2,035",4,172,383,695,584,171,26
1998,Scotland,"57,319",66,"4,802","9,804","17,477","17,207","6,893","1,070"
1998,Aberdeen City,"2,339",0,196,376,721,714,286,46
1998,Aberdeenshire,"2,594",5,147,387,877,830,299,49
1998,Angus,"1,180",2,97,210,376,345,133,17
1998,Argyll and Bute,850,10,56,147,225,262,130,20
1998,City of Edinburgh,"4,857",3,312,689,"1,247","1,693",812,101
1998,Clackmannanshire,537,0,62,102,178,135,47,13
1998,Dumfries and Galloway,"1,514",0,135,274,461,436,176,32
1998,Dundee City,"1,652",2,222,351,496,412,145,24
1998,East Ayrshire,"1,351",2,168,274,420,334,132,21
1998,East Dunbartonshire,"1,117",1,29,102,307,454,203,21
1998,East Lothian,"1,008",1,63,148,291,348,137,20
1998,East Renfrewshire,"1,013",0,42,70,262,422,183,34
1998,Falkirk,"1,700",0,163,290,548,523,158,18
1998,Fife,"3,854",9,372,677,"1,288","1,067",370,71
1998,Glasgow City,"7,146",4,778,"1,366","2,043","1,934",886,135
1998,Highland,"2,451",9,190,436,788,699,284,45
1998,Inverclyde,910,0,84,175,266,269,104,12
1998,Midlothian,964,1,80,143,315,282,126,17
1998,Moray,"1,034",0,59,183,380,283,111,18
1998,Na h Eileanan Siar,274,3,17,41,78,93,33,9
1998,North Ayrshire,"1,540",1,152,322,513,392,136,24
1998,North Lanarkshire,"4,078",3,347,826,"1,315","1,137",387,63
1998,Orkney Islands,194,0,17,30,68,53,24,2
1998,Perth and Kinross,"1,364",4,77,214,396,454,184,35
1998,Renfrewshire,"2,014",0,155,322,594,661,245,37
1998,Scottish Borders,"1,038",2,58,166,315,332,129,36
1998,Shetland Islands,265,0,26,44,77,77,34,7
1998,South Ayrshire,"1,165",0,99,205,363,335,142,21
1998,South Lanarkshire,"3,303",3,242,527,"1,048","1,010",414,59
1998,Stirling,921,1,66,133,258,307,138,18
1998,West Dunbartonshire,"1,116",0,124,222,322,323,105,20
1998,West Lothian,"1,976",0,167,352,641,591,200,25
1999,Scotland,"55,147",48,"4,755","9,440","16,011","16,722","7,034","1,137"
1999,Aberdeen City,"2,311",0,167,390,684,735,278,57
1999,Aberdeenshire,"2,501",6,130,388,792,793,327,65
1999,Angus,"1,085",0,106,214,318,313,113,21
1999,Argyll and Bute,834,2,64,140,243,253,107,25
1999,City of Edinburgh,"4,764",1,330,677,"1,144","1,615",874,123
1999,Clackmannanshire,544,0,60,124,163,143,46,8
1999,Dumfries and Galloway,"1,402",1,136,245,441,394,159,26
1999,Dundee City,"1,522",0,185,351,432,398,133,23
1999,East Ayrshire,"1,290",1,159,236,387,359,132,16
1999,East Dunbartonshire,"1,057",6,45,103,248,415,208,32
1999,East Lothian,968,0,68,144,265,309,156,26
1999,East Renfrewshire,953,0,29,83,228,403,179,31
1999,Falkirk,"1,603",0,139,306,481,488,173,16
1999,Fife,"3,655",5,346,681,"1,130","1,030",401,62
1999,Glasgow City,"6,830",3,738,"1,294","1,912","1,874",863,146
1999,Highland,"2,223",6,199,400,635,627,292,64
1999,Inverclyde,947,1,121,157,269,277,103,19
